Inv. Steve 5361	Pot à sucre à « quatre pans ronds »	Manufacture royale de porcelaine de Vincennes, vers 1752.	Dimensions : haut. : 0,088 m ; long. 0,094 m ; larg. : 0,087 m.
Inv. Steve 3426	Soucoupe de gobelet « Hébert »	Manufacture royale de porcelaine de Vincennes, vers 1753.	Dimensions : haut. : 0,024 m ; diam ; : 0,138 m.
Inv. Steve : 4866 ancien inventaire : 2375 A	Théière « Calabre »	Manufacture royale de porcelaine de Vincennes, vers 1753-1754.	Dimensions : haut. (a. c.) : 0,115 m ; haut. (s. c.): 0,092 m ; long. : 0,160 m ; larg. : 0,110 m ; diam. 0,055 m.
Inv. Steve 5034	Pot à sucre « Calabre » 	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (s. c.): 0,070 m ; haut. (a. c.) : 0,094 m ; diam. : 0,091 m. 
Inv. Steve 4906	Plateau « en porte-huillier »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. : 0,053 m ; long. : 0,272 m ; larg. 0,138 m.
Inv. Steve 4903	Gobelet « à la Reine »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. : 0,073 m ; diam. 0,075 m ; prof. : 0,095 m.
Inv. Steve 4909	Pot à sucre « du Roy »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (s. c.): 0,053 m ; diam. 0,081 m.
Inv. Steve 4994	Soucoupe de gobelet « litron »	Manufacture royale de porcelaine de Sèvres, 1754-1755.	Dimensions : haut. : 0,032 m ; diam. : 0,141 m.
Inv. Steve 3460	Gobelet « Hébert »	Manufacture royale de porcelaine de Vincennes, 1754-1755.	Dimensions : haut. : 0,064 m ; diam. : 0,077 m ; long. : 0,102 m. 
Inv. Steve 4735	Gobelet « Bouret »	Manufacture royale de porcelaine de Vincennes, 1754-1755.	Dimensions : haut. : 0,043 m ; diam. : 0,057 m.
Inv. Steve 4767	Gobelet  « à la Reine » et sa soucoupe	Manufacture royale de porcelaine de Vincennes, 1754-1755.	Dimensions : haut. : 0,082 m ; diam. : 0,086 m ; prof. : 0,112 m ;
Inv. Steve 4768	Soucoupe	Manufacture royale de porcelaine de Vincennes, 1754-1755.	Dimensions : haut. : 0,038 m ; diam. : 0,157 m.
Inv. Steve 4905	Pot à lait « Hébert »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (a. c.) : 0,126 m ; haut. (s. c.): 0,098 m ; long. : 0,110 m ; larg. : 0,080 m ; diam. 0,055 m.
Inv. Steve 4874	Pot à sucre « Hébert »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (a. c.) : 0,085 m ; haut. (s. c.): 0,056 m ; diam. 0,075 m.
Inv. Steve 1274	Pot à sucre « Hébert »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (a. c.) : 0,065 m ; haut. (s. c.): 0,045 m ; diam. 0,055 m.
Inv. Steve 4873	Pot à sucre « Calabre »	Manufacture royale de porcelaine de Vincennes, 1753-1754.	Dimensions : haut. (s. c.): 0,070 m ; diam. 0,090 m.
Inv. Steve 4988	Pot à sucre « à la Reine »	Manufacture royale de porcelaine de Vincennes, vers 1753-1754.	Dimensions : haut. (s. c.): 0,062 m ; haut. (a. c.): 0,090 ; diam. : 0,110 m.
Inv. Steve 5000	Plateau « Hébert »	Manufacture royale de porcelaine de Vincennes, 1754-1755.	Dimensions : haut. : 0,033 m ; long. : 0,287 m ; larg ; : 0,230 m.
Inv. Steve 3417	Pot à lait « à trois pieds »	Manufacture royale de porcelaine de Sèvres, 1754-1755.	Dimensions : haut. : 0,094 m ; long. : 0,110 m ; larg ; : 0,078 m.
Inv. Steve 4733.4994	Plateau « en porte-huillier »	Manufacture royale de porcelaine de Vincennes, vers 1754.	Dimensions : haut. : 0,049 m ; long. : 0,277 m ; larg. 0,138 m.
	Plateau « en porte-huillier »	Manufacture royale de porcelaine de Vincennes, vers 1754.	Dimensions : haut. : 0,049 m ; long. : 0,277 m ; larg. 0,138 m.
Inv. Steve 3456	Gobelet « couvert »	Manufacture royale de porcelaine de Vincennes, 1755-1756.	Dimensions : haut. : 0,068 m ; diam. : 0,069 m ; long. : 0,092 m. 
Inv. Steve 3457	Soucoupe	Manufacture royale de porcelaine de Vincennes, 1755-1756.	Dimensions : haut. : 0,033 m ; diam. : 0,135 m.
Inv. Steve 3414	Pot à sucre « Bouret »	Manufacture royale de porcelaine de Sèvres, 1755-1756.	Dimensions : haut. (a. c.): 0,083 m ; haut. (s. c.): 0,076 m ; diam. : 0,076 m.
